Artist,Song,Streams,Genre
Hayley Gene Penner,Sleep at Night,"2,180,000",Folk
Hayley Gene Penner,White Stripes,"1,500,000",Folk
Hayley Gene Penner,Smaller,"1,210,000",Folk
Hayley Gene Penner,People You Follow,"385,460",Folk
Hayley Gene Penner,somethingyouneverhad,"355,220",Folk
Hayley Gene Penner,Olive Juice,"269,190",Folk
Hayley Gene Penner,Get Away,"207,340",Folk
Hayley Gene Penner,Silver Lining,"188,430",Folk
Hayley Gene Penner,Great Advice,"151,850",Folk
