Artist,Song,Streams,Genre
Alex G,Give Your Heart A Break,"1,191,025",
Alex G,Falling Slowly,"464,872",
Alex G,Want U Back,"24,960",
Alex G,Some Nights,"756,138",
Alex G,Wide Awake,"556,954",
Alex G,Die in Your Arms,"227,797",
Alex G,Payphone (Acoustic Version),"8,437,370",
Alex G,Glad You Came (Acoustic Version),"448,594",
Alex G,Boyfriend,"363,491",
Alex G,Call Me Maybe,"1,094,044",
Alex G,We Are Young,"928,684",
Alex G,Starships,"1,577,508",
Alex G,In the Mourning,"262,153",
Alex G,The a Team,"2,648,703",
Alex G,Candy,"1,543,125",
Alex G,Wicked Boy,"885,661",
Alex G,Mis,"6,335,558",
Alex G,Message,"1,326,321",
Alex G,Sandy,"2,977,400",
Alex G,New,"19,271",
Alex G,Fighting,"1,566,708",
Alex G,Come Back,"2,153,711",
Alex G,Good,"1,031,507",
Alex G,Master,"1,785,687",
Alex G,Rules,"927,291",
Alex G,Know Now,"713,545",
Alex G,Water,"798,245",
Alex G,I Won't Give Up,"3,972,465",
Alex G,Falling Slowly,"450,349",
Alex G,Perfectly Known,"215,871",
Alex G,Perfectly Known - Rap,"215,871",
Alex G,Breathe,"65,766",
Alex G,Together Again,"23,792",
Alex G,Car Crash Heart,"223,168",
Alex G,Love Like Valentine,"157,752",
Alex G,Don't Know Why (Acoustic Tribute to Norah Jones) [feat. W.G. Snuffy Walden],"8,881",
Alex G,Silent Night,"24,144",
Alex G,It Will Rain (Acoustic Tribute to Bruno Mars),"42,089",
Alex G,A Thousand Years,"73,989",
Alex G,A Thousand Years (Tribute to Christina Perri),"73,989",
Alex G,Ours (Acoustic Tribute to Taylor Swift),"61,679",
Alex G,Ours,"61,679",
Alex G,Terrified (Acoustic Tribute to Katharine McPhee and Zachary Levi),"315,006",
Alex G,Monster,"361,821",
Alex G,Nineteen,"52,893",
Alex G,Someone Like You - Jam,"510,434",
Alex G,Someone Like You (Acoustic Version),"510,434",
Alex G,Terrified,"161,368",
Alex G,Jet Lag,"42,276",
Alex G,Who Says,"336,807",
Alex G,Who Says (Tribute to Selena Gomez),"336,807",
Alex G,Sparks Fly,"406,168",
Alex G,Just a Kiss,"1,165,935",
Alex G,Stereo Hearts,"154,579",
Alex G,Brighter Than the Sun (feat. Adam Stanton),"159,185",
Alex G,The Story of Us,"86,395",
Alex G,Falling (feat. Alex G),"1,219,461",
Alex G,Mean (feat. Alex G),"364,639",
Alex G,Mean (Acoustic Version),"158,093",
Alex G,Jar of Hearts,"229,260",
Alex G,Landslide,"714,092",
Alex G,If I Die Young,"161,705",
Alex G,Marry Me,"174,740",
Alex G,Born This Way,"1,528,776",
Alex G,Treehouse,"27,644,371",
Alex G,Crab,"1,186,260",
Alex G,Cross Country,"332,323",
Alex G,Go Away,"351,296",
Alex G,Let It Go,"888,232",
Alex G,Time/Space,"309,262",
Alex G,House,"899,268",
Alex G,Remember,"773,477",
Alex G,The Same,"953,306",
Alex G,Trash,"798,670",
Alex G,TV,"1,425,801",
Alex G,Gnaw,"5,487,016",
Alex G,Race,"491,227",
Alex G,Things to Do,"553,962",
Alex G,Euphoria,"840,746",
Alex G,For The First Time (acoustic),"389,033",
Alex G,Haunted (acoustic),"528,634",
Alex G,Is Anybody Out There,"1,195,560",
Alex G,Back Home,"348,968",
Alex G,Super Bass - acoustic,"2,733,888",
Alex G,"Tonight, Tonight","965,178",
Boygenius,R.I.P.,"3,968",
Tones and I,Colourblind,"16,559,200",
Tones and I,Jimmy,"18,519,260",
Tones and I,The Kids Are Coming,"28,157,222",
Tones and I,Never Seen the Rain,"231,556,966",
Tones and I,Dance Monkey,"1,802,177,865",
Tones and I,Dance Monkey - Stripped Back,"26,918,351",
Tones and I,Johnny Run Away,"59,691,180",
Tom Misch,Me & You ◑,"32,234,363",
Tom Misch,Me & You ◑,"32,234,363",
Tom Misch,Cos I Love You,"7,982,464",
Tom Misch,We've Come So Far,"4,937,905",
Tom Misch,You're On My Mind,"14,766,536",
Tom Misch,Disco Yes,"25,357,497",
Tom Misch,Never Moved,"134,937",
Tom Misch,Tick Tock,"9,106,980",
Tom Misch,Isn't She Lovely,"9,152,335",
Tom Misch,Before Paris,"7,832,488",
Tom Misch,Man Like You,"8,096,636",
Tom Misch,Lost in Paris,"28,802,173",
Tom Misch,It Runs Through Me (feat. De La Soul),"54,900,301",
Tom Misch,Water Baby,"13,916,349",
Tom Misch,Movie,"60,756,639",
Tom Misch,South of the River - Detroit Swindle Remix,"673,516",
