Artist,Song,Streams,Genre,Class
Ethel Cain,Golden Age,1642381,,1.4659920013581988
Ethel Cain,Casings,894727,,1.0055357674665384
Ethel Cain,Dog Days,1595609,,1.4440893850794907
Ethel Cain,Antlers,1189066,,1.2211423718662138
Ethel Cain,Growing Pains,1696033,,1.4903610443325819
Ethel Cain,Misuse Oh,1621734,,1.4564012496073258
Alex G,Little Things,593447,,1.5037672845962622
Alex G,Diamonds,290881,,1.1154573353321826
Alex G,One More Night,1168520,,1.872751168328673
Alex G,Kute,1638729,,2.0569220414691465
Alex G,Sarah,14914917,,2.0865387600722385
Alex G,Advice,1255651,,1.911915954486102
Alex G,So,982371,,1.7782517186225109
Alex G,Whale,770334,,1.645837650343766
Alex G,Trick,691396,,1.5869613340285635
Alex G,String,839990,,1.6929804489067726
Alex G,People,961200,,1.7663870055010402
Alex G,Clouds,1205975,,1.8899331696801607
Alex G,Adam,1044346,,1.8115681108551547
Alex G,Animals,1233620,,1.9022760535534475
Alex G,Memory,1596942,,2.042855081116494
Alex G,Forever,2244512,,2.2282320516996337
Alex G,Mary,8498153,,2.953277425940753
Alex G,Change,2669975,,2.3227624571084737
Alex G,16 Mirrors,967176,,1.769762359754551
Alex G,Wanted,251539,,1.0363198976980514
Alex G,Too Close,645229,,1.5493261738655455
Alex G,Find You,585293,,1.4962327154037387
Alex G,Tale as Old as Time,333821,,1.1904420389588484
Alex G,4 A.M.,437209,,1.3373754948613268
Alex G,Let You Go,299899,,1.1320844258001785
Alex G,Lego House,357458,,1.227698931022788
Alex G,As Long as You Love Me,454766,,1.3588168533412162
Alex G,Give Your Heart A Break,1191025,,1.8831399137464644
Alex G,Falling Slowly,464872,,1.3707864212488143
Alex G,Want U Back,24960,,0.0
Alex G,Some Nights,756138,,1.6357081354076501
Alex G,Wide Awake,556954,,1.469204808500406
Alex G,Die in Your Arms,227797,,0.9823277603182764
Alex G,Payphone (Acoustic Version),8437370,,2.9493682530269796
Alex G,Glad You Came (Acoustic Version),448594,,1.3513751833599792
Alex G,Boyfriend,363491,,1.236813523662505
Alex G,Call Me Maybe,1094044,,1.836886108253454
Alex G,We Are Young,928684,,1.7476455241478481
Alex G,Starships,1577508,,2.0361870378577405
Alex G,In the Mourning,262153,,1.0588278483397935
Alex G,The a Team,2648703,,2.31840627198574
Alex G,Candy,1543125,,2.0241860245870362
Alex G,Wicked Boy,885661,,1.7218133292644764
